order_id,customer_id,product_id,category,order_date,order_month,quantity,unit_price,discount_pct,order_value,gross_margin,is_returned,net_revenue,net_margin,acquisition_channel,device
ORD0000020,CUST00005,PROD0020,Clothing,2023-03-27,2023-03,3,35.77,0.1,96.58,44.43,0,96.58,44.43,Paid Social,Mobile
ORD0000021,CUST00005,PROD0196,Sports,2023-07-30,2023-07,1,92.93,0,92.93,57.62,0,92.93,57.62,Paid Social,Mobile
ORD0000022,CUST00005,PROD0059,Sports,2022-11-11,2022-11,1,76.4,0.1,68.76,35.07,0,68.76,35.07,Paid Social,Mobile
ORD0000023,CUST00005,PROD0006,Accessories,2022-10-26,2022-10,2,25.71,0.05,48.85,22.96,0,48.85,22.96,Paid Social,Mobile
ORD0000024,CUST00005,PROD0041,Beauty,2023-03-18,2023-03,3,68.34,0.05,194.77,116.86,1,0.0,0.0,Paid Social,Mobile
ORD0000025,CUST00005,PROD0081,Home & Living,2022-12-05,2022-12,3,97.71,0,293.13,76.21,0,293.13,76.21,Paid Social,Mobile
ORD0000026,CUST00005,PROD0060,Footwear,2024-03-04,2024-03,3,104.31,0,312.93,90.75,0,312.93,90.75,Paid Social,Mobile
ORD0000027,CUST00005,PROD0197,Clothing,2022-10-21,2022-10,1,92.45,0,92.45,33.28,0,92.45,33.28,Paid Social,Mobile
ORD0000028,CUST00005,PROD0160,Accessories,2023-10-25,2023-10,3,31.12,0.1,84.02,47.05,0,84.02,47.05,Paid Social,Mobile
ORD0000029,CUST00006,PROD0006,Accessories,2023-07-13,2023-07,3,25.71,0,77.13,36.25,0,77.13,36.25,Direct,Mobile
ORD0000030,CUST00007,PROD0085,Accessories,2024-02-09,2024-02,3,53.78,0.05,153.27,73.57,1,0.0,0.0,Paid Social,Mobile
ORD0000031,CUST00008,PROD0130,Home & Living,2023-12-04,2023-12,2,126.57,0,253.14,146.82,0,253.14,146.82,Direct,Desktop
ORD0000032,CUST00008,PROD0078,Accessories,2023-03-09,2023-03,1,83.84,0,83.84,50.3,0,83.84,50.3,Direct,Desktop
ORD0000033,CUST00008,PROD0160,Accessories,2023-08-09,2023-08,1,31.12,0,31.12,17.43,0,31.12,17.43,Direct,Desktop
ORD0000034,CUST00008,PROD0078,Accessories,2023-09-27,2023-09,2,83.84,0,167.68,100.61,0,167.68,100.61,Direct,Desktop
ORD0000035,CUST00008,PROD0150,Beauty,2023-08-28,2023-08,3,24.66,0,73.98,36.25,1,0.0,0.0,Direct,Desktop
ORD0000036,CUST00008,PROD0100,Clothing,2023-09-19,2023-09,3,80.73,0,242.19,108.99,0,242.19,108.99,Direct,Desktop
ORD0000037,CUST00008,PROD0142,Sports,2023-05-01,2023-05,1,114.73,0,114.73,55.07,0,114.73,55.07,Direct,Desktop
ORD0000038,CUST00008,PROD0125,Sports,2023-10-21,2023-10,1,126.04,0,126.04,49.16,0,126.04,49.16,Direct,Desktop
ORD0000039,CUST00008,PROD0116,Footwear,2024-02-21,2024-02,3,141.52,0,424.56,186.81,0,424.56,186.81,Direct,Desktop
ORD0000040,CUST00008,PROD0102,Footwear,2023-09-16,2023-09,2,44.77,0,89.54,23.28,0,89.54,23.28,Direct,Desktop
ORD0000041,CUST00009,PROD0119,Beauty,2023-12-11,2023-12,3,20.14,0,60.42,21.75,0,60.42,21.75,Influencer,Desktop
ORD0000042,CUST00009,PROD0140,Home & Living,2024-01-29,2024-01,3,34.26,0,102.78,56.53,1,0.0,0.0,Influencer,Desktop
ORD0000043,CUST00009,PROD0188,Footwear,2023-09-16,2023-09,2,148.41,0,296.82,175.12,0,296.82,175.12,Influencer,Desktop
ORD0000044,CUST00009,PROD0049,Home & Living,2023-10-03,2023-10,3,60.55,0,181.65,70.84,0,181.65,70.84,Influencer,Desktop
ORD0000045,CUST00010,PROD0044,Footwear,2023-09-27,2023-09,2,185.76,0.1,334.37,163.84,0,334.37,163.84,Paid Social,Desktop
ORD0000046,CUST00010,PROD0097,Clothing,2023-08-23,2023-08,1,60.58,0,60.58,17.57,0,60.58,17.57,Paid Social,Desktop
ORD0000047,CUST00010,PROD0073,Sports,2022-11-28,2022-11,3,66.61,0,199.83,71.94,0,199.83,71.94,Paid Social,Desktop
ORD0000048,CUST00010,PROD0042,Home & Living,2023-04-19,2023-04,3,61.51,0.05,175.3,49.08,0,175.3,49.08,Paid Social,Desktop
ORD0000049,CUST00010,PROD0173,Footwear,2023-04-21,2023-04,2,87.72,0,175.44,75.44,0,175.44,75.44,Paid Social,Desktop
ORD0000050,CUST00011,PROD0158,Home & Living,2024-01-03,2024-01,1,50.83,0,50.83,23.89,0,50.83,23.89,Influencer,Mobile
ORD0000051,CUST00011,PROD0084,Accessories,2023-02-20,2023-02,1,45.9,0,45.9,12.85,0,45.9,12.85,Influencer,Mobile
ORD0000052,CUST00011,PROD0102,Footwear,2023-06-18,2023-06,1,44.77,0,44.77,11.64,0,44.77,11.64,Influencer,Mobile
ORD0000053,CUST00011,PROD0020,Clothing,2022-10-14,2022-10,2,35.77,0,71.54,32.91,1,0.0,0.0,Influencer,Mobile
ORD0000054,CUST00011,PROD0135,Beauty,2023-05-21,2023-05,3,31.76,0,95.28,59.07,0,95.28,59.07,Influencer,Mobile
ORD0000055,CUST00011,PROD0152,Accessories,2022-08-10,2022-08,1,36.62,0,36.62,16.11,1,0.0,0.0,Influencer,Mobile
ORD0000056,CUST00012,PROD0087,Home & Living,2023-03-23,2023-03,2,45.63,0,91.26,52.93,0,91.26,52.93,Influencer,Mobile
ORD0000057,CUST00012,PROD0098,Home & Living,2023-08-08,2023-08,2,101.77,0,203.54,85.49,0,203.54,85.49,Influencer,Mobile
ORD0000058,CUST00012,PROD0057,Beauty,2022-08-16,2022-08,1,25.42,0,25.42,12.2,0,25.42,12.2,Influencer,Mobile
ORD0000059,CUST00012,PROD0163,Beauty,2024-03-27,2024-03,3,20.18,0,60.54,29.06,0,60.54,29.06,Influencer,Mobile
ORD0000060,CUST00012,PROD0197,Clothing,2023-01-18,2023-01,1,92.45,0,92.45,33.28,0,92.45,33.28,Influencer,Mobile
ORD0000061,CUST00012,PROD0052,Clothing,2022-08-09,2022-08,3,61.19,0,183.57,53.24,0,183.57,53.24,Influencer,Mobile
ORD0000062,CUST00012,PROD0121,Clothing,2022-11-21,2022-11,3,86.37,0,259.11,126.96,0,259.11,126.96,Influencer,Mobile
ORD0000063,CUST00012,PROD0200,Footwear,2023-02-18,2023-02,3,43.07,0,129.21,73.65,0,129.21,73.65,Influencer,Mobile
ORD0000064,CUST00012,PROD0144,Beauty,2022-09-03,2022-09,3,34.94,0,104.82,57.65,0,104.82,57.65,Influencer,Mobile
ORD0000065,CUST00012,PROD0147,Home & Living,2023-08-22,2023-08,2,133.32,0,266.64,122.65,0,266.64,122.65,Influencer,Mobile
ORD0000066,CUST00012,PROD0170,Beauty,2022-11-25,2022-11,1,69.97,0,69.97,44.78,0,69.97,44.78,Influencer,Mobile
ORD0000067,CUST00012,PROD0183,Clothing,2023-10-06,2023-10,1,78.37,0,78.37,47.02,0,78.37,47.02,Influencer,Mobile
ORD0000068,CUST00012,PROD0181,Home & Living,2024-02-27,2024-02,1,68.65,0,68.65,39.13,0,68.65,39.13,Influencer,Mobile
ORD0000069,CUST00013,PROD0055,Sports,2023-05-02,2023-05,1,136.99,0.05,130.14,37.74,0,130.14,37.74,Paid Social,Desktop
ORD0000070,CUST00013,PROD0102,Footwear,2023-05-12,2023-05,2,44.77,0,89.54,23.28,0,89.54,23.28,Paid Social,Desktop
ORD0000071,CUST00013,PROD0033,Sports,2023-10-08,2023-10,3,54.48,0,163.44,45.76,1,0.0,0.0,Paid Social,Desktop
ORD0000072,CUST00013,PROD0093,Footwear,2024-03-20,2024-03,1,85.42,0,85.42,48.69,1,0.0,0.0,Paid Social,Desktop
ORD0000073,CUST00013,PROD0034,Clothing,2023-08-14,2023-08,3,108.12,0,324.36,129.74,0,324.36,129.74,Paid Social,Desktop
ORD0000074,CUST00013,PROD0173,Footwear,2023-01-11,2023-01,3,87.72,0.05,250.0,107.5,0,250.0,107.5,Paid Social,Desktop
ORD0000075,CUST00014,PROD0197,Clothing,2022-10-31,2022-10,3,92.45,0.05,263.48,94.85,0,263.48,94.85,Paid Social,Mobile
ORD0000076,CUST00014,PROD0183,Clothing,2024-01-22,2024-01,3,78.37,0,235.11,141.07,0,235.11,141.07,Paid Social,Mobile
ORD0000077,CUST00014,PROD0073,Sports,2023-04-08,2023-04,2,66.61,0,133.22,47.96,0,133.22,47.96,Paid Social,Mobile
ORD0000078,CUST00015,PROD0012,Sports,2023-09-03,2023-09,2,146.79,0,293.58,105.69,0,293.58,105.69,Paid Social,Tablet
ORD0000079,CUST00015,PROD0003,Footwear,2023-08-15,2023-08,1,63.28,0.05,60.12,30.06,0,60.12,30.06,Paid Social,Tablet
ORD0000080,CUST00015,PROD0002,Clothing,2023-10-07,2023-10,2,48.81,0.05,92.74,58.43,1,0.0,0.0,Paid Social,Tablet
ORD0000081,CUST00015,PROD0038,Accessories,2023-06-29,2023-06,1,85.41,0,85.41,46.98,0,85.41,46.98,Paid Social,Tablet
ORD0000082,CUST00015,PROD0185,Footwear,2023-04-11,2023-04,3,196.58,0.05,560.25,285.73,0,560.25,285.73,Paid Social,Tablet
ORD0000083,CUST00015,PROD0008,Footwear,2023-04-01,2023-04,3,151.56,0,454.68,277.35,0,454.68,277.35,Paid Social,Tablet
ORD0000084,CUST00015,PROD0105,Sports,2023-12-06,2023-12,1,41.5,0,41.5,26.14,0,41.5,26.14,Paid Social,Tablet
ORD0000085,CUST00015,PROD0026,Footwear,2023-09-30,2023-09,3,66.28,0.05,188.9,49.11,0,188.9,49.11,Paid Social,Tablet
ORD0000086,CUST00015,PROD0040,Beauty,2023-10-26,2023-10,2,42.24,0,84.48,34.64,0,84.48,34.64,Paid Social,Tablet
ORD0000087,CUST00016,PROD0149,Beauty,2023-01-17,2023-01,3,65.53,0,196.59,102.23,0,196.59,102.23,Organic Search,Tablet
ORD0000088,CUST00016,PROD0056,Home & Living,2022-07-29,2022-07,2,70.19,0,140.38,75.81,0,140.38,75.81,Organic Search,Tablet
ORD0000089,CUST00016,PROD0063,Accessories,2023-04-25,2023-04,1,72.45,0,72.45,24.63,0,72.45,24.63,Organic Search,Tablet
ORD0000090,CUST00016,PROD0113,Home & Living,2024-01-01,2024-01,1,30.82,0,30.82,16.33,0,30.82,16.33,Organic Search,Tablet
ORD0000091,CUST00016,PROD0103,Accessories,2022-08-21,2022-08,1,84.89,0,84.89,38.2,0,84.89,38.2,Organic Search,Tablet
ORD0000092,CUST00016,PROD0152,Accessories,2022-12-06,2022-12,3,36.62,0,109.86,48.34,0,109.86,48.34,Organic Search,Tablet
ORD0000093,CUST00016,PROD0058,Accessories,2023-04-18,2023-04,1,50.31,0,50.31,16.6,1,0.0,0.0,Organic Search,Tablet
ORD0000094,CUST00016,PROD0200,Footwear,2023-01-08,2023-01,3,43.07,0,129.21,73.65,0,129.21,73.65,Organic Search,Tablet
ORD0000095,CUST00016,PROD0196,Sports,2023-11-12,2023-11,2,92.93,0,185.86,115.23,1,0.0,0.0,Organic Search,Tablet
ORD0000096,CUST00016,PROD0026,Footwear,2023-09-27,2023-09,2,66.28,0,132.56,34.47,0,132.56,34.47,Organic Search,Tablet
ORD0000097,CUST00016,PROD0171,Clothing,2022-08-19,2022-08,1,49.46,0,49.46,12.37,0,49.46,12.37,Organic Search,Tablet
ORD0000098,CUST00017,PROD0058,Accessories,2022-07-25,2022-07,2,50.31,0,100.62,33.2,1,0.0,0.0,Organic Search,Mobile
ORD0000099,CUST00017,PROD0126,Sports,2023-12-02,2023-12,1,92.2,0,92.2,59.01,0,92.2,59.01,Organic Search,Mobile
ORD0000100,CUST00017,PROD0029,Accessories,2024-02-11,2024-02,3,59.38,0,178.14,106.88,0,178.14,106.88,Organic Search,Mobile
ORD0000101,CUST00017,PROD0163,Beauty,2024-03-09,2024-03,2,20.18,0,40.36,19.37,0,40.36,19.37,Organic Search,Mobile
ORD0000102,CUST00018,PROD0012,Sports,2023-03-17,2023-03,1,146.79,0.2,117.43,42.27,0,117.43,42.27,Email,Desktop
ORD0000103,CUST00018,PROD0078,Accessories,2023-08-26,2023-08,3,83.84,0.2,201.22,120.73,1,0.0,0.0,Email,Desktop
ORD0000104,CUST00018,PROD0138,Home & Living,2023-12-22,2023-12,1,126.57,0.2,101.26,45.57,0,101.26,45.57,Email,Desktop
ORD0000105,CUST00018,PROD0182,Accessories,2023-02-19,2023-02,2,22.63,0,45.26,17.2,0,45.26,17.2,Email,Desktop
ORD0000106,CUST00018,PROD0079,Footwear,2023-04-14,2023-04,2,67.68,0.1,121.82,51.16,0,121.82,51.16,Email,Desktop
ORD0000107,CUST00018,PROD0179,Footwear,2023-08-22,2023-08,1,56.4,0.15,47.94,29.72,0,47.94,29.72,Email,Desktop
ORD0000108,CUST00019,PROD0153,Accessories,2023-04-14,2023-04,1,85.5,0,85.5,47.88,1,0.0,0.0,Direct,Mobile
ORD0000109,CUST00019,PROD0138,Home & Living,2023-09-25,2023-09,1,126.57,0,126.57,56.96,0,126.57,56.96,Direct,Mobile
ORD0000110,CUST00019,PROD0067,Clothing,2023-11-13,2023-11,2,47.62,0,95.24,30.48,0,95.24,30.48,Direct,Mobile
ORD0000111,CUST00019,PROD0111,Clothing,2023-03-28,2023-03,1,72.51,0,72.51,44.23,0,72.51,44.23,Direct,Mobile
ORD0000112,CUST00020,PROD0073,Sports,2024-01-23,2024-01,3,66.61,0,199.83,71.94,0,199.83,71.94,Paid Social,Desktop
ORD0000113,CUST00020,PROD0006,Accessories,2023-04-19,2023-04,2,25.71,0,51.42,24.17,0,51.42,24.17,Paid Social,Desktop
ORD0000114,CUST00020,PROD0162,Home & Living,2022-12-15,2022-12,3,81.32,0.05,231.76,101.97,0,231.76,101.97,Paid Social,Desktop
ORD0000115,CUST00020,PROD0024,Beauty,2023-11-09,2023-11,3,20.35,0.1,54.95,22.53,1,0.0,0.0,Paid Social,Desktop
ORD0000116,CUST00020,PROD0156,Sports,2023-10-19,2023-10,2,96.17,0.05,182.72,105.98,1,0.0,0.0,Paid Social,Desktop
ORD0000117,CUST00020,PROD0158,Home & Living,2024-02-08,2024-02,3,50.83,0.05,144.87,68.09,0,144.87,68.09,Paid Social,Desktop
ORD0000118,CUST00020,PROD0085,Accessories,2023-12-26,2023-12,3,53.78,0,161.34,77.44,0,161.34,77.44,Paid Social,Desktop
ORD0000119,CUST00020,PROD0041,Beauty,2023-03-15,2023-03,1,68.34,0.05,64.92,38.95,0,64.92,38.95,Paid Social,Desktop
ORD0000120,CUST00021,PROD0071,Beauty,2022-11-20,2022-11,1,65.25,0.1,58.73,35.83,0,58.73,35.83,Email,Tablet
ORD0000121,CUST00021,PROD0122,Home & Living,2022-10-03,2022-10,2,74.99,0.1,134.98,53.99,1,0.0,0.0,Email,Tablet
ORD0000122,CUST00021,PROD0098,Home & Living,2024-02-23,2024-02,3,101.77,0.15,259.51,108.99,0,259.51,108.99,Email,Tablet
ORD0000123,CUST00022,PROD0051,Footwear,2023-07-15,2023-07,1,119.28,0,119.28,67.99,0,119.28,67.99,Organic Search,Desktop
ORD0000124,CUST00022,PROD0043,Footwear,2024-01-19,2024-01,2,62.01,0,124.02,76.89,0,124.02,76.89,Organic Search,Desktop
ORD0000125,CUST00022,PROD0033,Sports,2022-10-13,2022-10,1,54.48,0,54.48,15.25,0,54.48,15.25,Organic Search,Desktop
ORD0000126,CUST00022,PROD0052,Clothing,2024-03-22,2024-03,2,61.19,0,122.38,35.49,0,122.38,35.49,Organic Search,Desktop
ORD0000127,CUST00022,PROD0034,Clothing,2023-01-05,2023-01,2,108.12,0,216.24,86.5,0,216.24,86.5,Organic Search,Desktop
ORD0000128,CUST00022,PROD0118,Clothing,2022-08-21,2022-08,3,33.04,0,99.12,47.58,0,99.12,47.58,Organic Search,Desktop
ORD0000129,CUST00022,PROD0122,Home & Living,2023-02-07,2023-02,3,74.99,0,224.97,89.99,1,0.0,0.0,Organic Search,Desktop
ORD0000130,CUST00022,PROD0104,Sports,2024-02-02,2024-02,2,40.92,0,81.84,29.46,0,81.84,29.46,Organic Search,Desktop
ORD0000131,CUST00022,PROD0090,Home & Living,2023-07-08,2023-07,1,99.94,0,99.94,62.96,0,99.94,62.96,Organic Search,Desktop
ORD0000132,CUST00022,PROD0124,Beauty,2023-10-19,2023-10,2,20.18,0,40.36,18.97,0,40.36,18.97,Organic Search,Desktop
ORD0000133,CUST00023,PROD0186,Home & Living,2023-10-12,2023-10,3,126.59,0.05,360.78,104.63,1,0.0,0.0,Paid Social,Mobile
ORD0000134,CUST00023,PROD0150,Beauty,2023-05-06,2023-05,2,24.66,0,49.32,24.17,1,0.0,0.0,Paid Social,Mobile
ORD0000135,CUST00023,PROD0041,Beauty,2023-05-03,2023-05,3,68.34,0,205.02,123.01,0,205.02,123.01,Paid Social,Mobile
ORD0000136,CUST00023,PROD0143,Beauty,2023-12-03,2023-12,1,15.9,0,15.9,10.18,1,0.0,0.0,Paid Social,Mobile
ORD0000137,CUST00023,PROD0034,Clothing,2023-09-27,2023-09,2,108.12,0,216.24,86.5,0,216.24,86.5,Paid Social,Mobile
ORD0000138,CUST00023,PROD0003,Footwear,2023-07-29,2023-07,1,63.28,0.05,60.12,30.06,0,60.12,30.06,Paid Social,Mobile
ORD0000139,CUST00023,PROD0135,Beauty,2023-08-17,2023-08,3,31.76,0,95.28,59.07,0,95.28,59.07,Paid Social,Mobile
ORD0000140,CUST00023,PROD0099,Home & Living,2023-08-01,2023-08,3,113.39,0.05,323.16,119.57,0,323.16,119.57,Paid Social,Mobile
ORD0000141,CUST00024,PROD0151,Clothing,2022-02-16,2022-02,2,30.88,0.1,55.58,24.46,0,55.58,24.46,Paid Social,Mobile
ORD0000142,CUST00024,PROD0104,Sports,2023-11-08,2023-11,1,40.92,0,40.92,14.73,0,40.92,14.73,Paid Social,Mobile
ORD0000143,CUST00024,PROD0130,Home & Living,2023-09-10,2023-09,3,126.57,0,379.71,220.23,1,0.0,0.0,Paid Social,Mobile
ORD0000144,CUST00024,PROD0099,Home & Living,2023-04-10,2023-04,1,113.39,0,113.39,41.95,0,113.39,41.95,Paid Social,Mobile
ORD0000145,CUST00024,PROD0055,Sports,2022-10-27,2022-10,1,136.99,0,136.99,39.73,0,136.99,39.73,Paid Social,Mobile
ORD0000146,CUST00025,PROD0094,Home & Living,2023-03-07,2023-03,3,56.47,0.1,152.47,96.06,0,152.47,96.06,Email,Mobile
ORD0000147,CUST00025,PROD0190,Beauty,2023-12-03,2023-12,3,23.73,0.2,56.95,25.06,0,56.95,25.06,Email,Mobile
ORD0000148,CUST00025,PROD0170,Beauty,2023-02-28,2023-02,1,69.97,0.1,62.97,40.3,0,62.97,40.3,Email,Mobile
ORD0000149,CUST00025,PROD0150,Beauty,2024-03-30,2024-03,1,24.66,0.2,19.73,9.67,0,19.73,9.67,Email,Mobile
ORD0000150,CUST00026,PROD0179,Footwear,2022-10-01,2022-10,3,56.4,0,169.2,104.9,0,169.2,104.9,Email,Desktop
ORD0000151,CUST00027,PROD0053,Footwear,2022-10-17,2022-10,3,46.14,0,138.42,77.52,1,0.0,0.0,Influencer,Mobile
ORD0000152,CUST00027,PROD0189,Home & Living,2022-08-31,2022-08,1,100.23,0,100.23,61.14,1,0.0,0.0,Influencer,Mobile
ORD0000153,CUST00027,PROD0071,Beauty,2024-02-07,2024-02,3,65.25,0,195.75,119.41,0,195.75,119.41,Influencer,Mobile
ORD0000154,CUST00027,PROD0055,Sports,2023-04-08,2023-04,1,136.99,0,136.99,39.73,0,136.99,39.73,Influencer,Mobile
ORD0000155,CUST00027,PROD0176,Home & Living,2023-07-05,2023-07,1,51.13,0,51.13,14.32,0,51.13,14.32,Influencer,Mobile
ORD0000156,CUST00027,PROD0100,Clothing,2023-01-21,2023-01,1,80.73,0,80.73,36.33,0,80.73,36.33,Influencer,Mobile
ORD0000157,CUST00027,PROD0003,Footwear,2022-09-28,2022-09,2,63.28,0,126.56,63.28,0,126.56,63.28,Influencer,Mobile
ORD0000158,CUST00027,PROD0039,Beauty,2024-03-31,2024-03,3,69.16,0,207.48,116.19,0,207.48,116.19,Influencer,Mobile
ORD0000159,CUST00028,PROD0164,Accessories,2023-12-31,2023-12,1,18.66,0.1,16.79,4.87,0,16.79,4.87,Paid Social,Desktop
ORD0000160,CUST00028,PROD0198,Sports,2023-04-06,2023-04,2,59.63,0,119.26,50.09,0,119.26,50.09,Paid Social,Desktop
ORD0000161,CUST00028,PROD0127,Accessories,2023-12-07,2023-12,2,49.21,0.1,88.58,27.46,0,88.58,27.46,Paid Social,Desktop
ORD0000162,CUST00029,PROD0060,Footwear,2022-06-07,2022-06,3,104.31,0.1,281.64,81.68,0,281.64,81.68,Referral,Desktop
ORD0000163,CUST00029,PROD0056,Home & Living,2022-08-04,2022-08,2,70.19,0.1,126.34,68.22,0,126.34,68.22,Referral,Desktop
ORD0000164,CUST00029,PROD0174,Clothing,2023-04-22,2023-04,1,69.83,0.1,62.85,16.34,0,62.85,16.34,Referral,Desktop
ORD0000165,CUST00029,PROD0077,Footwear,2022-08-06,2022-08,3,66.48,0,199.44,89.75,0,199.44,89.75,Referral,Desktop
ORD0000166,CUST00029,PROD0079,Footwear,2022-10-24,2022-10,2,67.68,0,135.36,56.85,0,135.36,56.85,Referral,Desktop
ORD0000167,CUST00030,PROD0090,Home & Living,2023-11-15,2023-11,1,99.94,0,99.94,62.96,0,99.94,62.96,Organic Search,Mobile
ORD0000168,CUST00030,PROD0093,Footwear,2024-01-10,2024-01,2,85.42,0,170.84,97.38,0,170.84,97.38,Organic Search,Mobile
ORD0000169,CUST00030,PROD0014,Beauty,2024-01-15,2024-01,3,56.06,0,168.18,105.95,0,168.18,105.95,Organic Search,Mobile
ORD0000170,CUST00030,PROD0149,Beauty,2023-09-03,2023-09,1,65.53,0,65.53,34.08,0,65.53,34.08,Organic Search,Mobile
ORD0000171,CUST00031,PROD0011,Sports,2024-03-27,2024-03,3,85.35,0,256.05,71.69,0,256.05,71.69,Paid Social,Desktop
ORD0000172,CUST00031,PROD0095,Accessories,2023-02-04,2023-02,1,33.53,0,33.53,19.11,0,33.53,19.11,Paid Social,Desktop
ORD0000173,CUST00031,PROD0038,Accessories,2023-04-30,2023-04,1,85.41,0.05,81.14,44.63,0,81.14,44.63,Paid Social,Desktop
ORD0000174,CUST00031,PROD0002,Clothing,2024-02-27,2024-02,3,48.81,0,146.43,92.25,1,0.0,0.0,Paid Social,Desktop
ORD0000175,CUST00031,PROD0088,Accessories,2024-02-05,2024-02,1,42.05,0,42.05,15.56,0,42.05,15.56,Paid Social,Desktop
ORD0000176,CUST00031,PROD0113,Home & Living,2022-11-25,2022-11,1,30.82,0,30.82,16.33,0,30.82,16.33,Paid Social,Desktop
ORD0000177,CUST00031,PROD0046,Sports,2022-12-03,2022-12,2,44.39,0.05,84.34,44.7,0,84.34,44.7,Paid Social,Desktop
ORD0000178,CUST00032,PROD0002,Clothing,2023-12-31,2023-12,3,48.81,0.15,124.47,78.42,0,124.47,78.42,Email,Tablet
ORD0000179,CUST00032,PROD0101,Footwear,2024-01-16,2024-01,1,191.81,0.1,172.63,75.96,0,172.63,75.96,Email,Tablet
ORD0000180,CUST00032,PROD0126,Sports,2024-02-18,2024-02,2,92.2,0,184.4,118.02,1,0.0,0.0,Email,Tablet
ORD0000181,CUST00032,PROD0040,Beauty,2023-11-04,2023-11,2,42.24,0.15,71.81,29.44,1,0.0,0.0,Email,Tablet
ORD0000182,CUST00032,PROD0197,Clothing,2024-03-26,2024-03,3,92.45,0.1,249.62,89.86,0,249.62,89.86,Email,Tablet
ORD0000183,CUST00032,PROD0162,Home & Living,2023-09-27,2023-09,2,81.32,0,162.64,71.56,1,0.0,0.0,Email,Tablet
ORD0000184,CUST00032,PROD0135,Beauty,2024-02-17,2024-02,2,31.76,0.15,53.99,33.47,0,53.99,33.47,Email,Tablet
ORD0000185,CUST00032,PROD0013,Sports,2023-11-28,2023-11,2,147.02,0,294.04,114.68,1,0.0,0.0,Email,Tablet
ORD0000186,CUST00032,PROD0043,Footwear,2023-09-18,2023-09,2,62.01,0.15,105.42,65.36,1,0.0,0.0,Email,Tablet
ORD0000187,CUST00032,PROD0065,Accessories,2024-02-25,2024-02,3,54.38,0.1,146.83,63.14,0,146.83,63.14,Email,Tablet
ORD0000188,CUST00032,PROD0125,Sports,2023-08-26,2023-08,1,126.04,0,126.04,49.16,1,0.0,0.0,Email,Tablet
ORD0000189,CUST00032,PROD0066,Footwear,2023-09-04,2023-09,1,151.36,0.1,136.22,39.5,0,136.22,39.5,Email,Tablet
ORD0000190,CUST00032,PROD0143,Beauty,2023-11-26,2023-11,3,15.9,0,47.7,30.53,0,47.7,30.53,Email,Tablet
